ride_id,sample_index,cadence_rpm,distance_m,elevation_m,speed_mps,fractional_cadence,heart_rate_bpm,latitude_semicircles,longitude_semicircles,power_w,temperature_c,timestamp_utc,unknown_107,accumulated_power,left_pedal_smoothness,left_right_balance,left_torque_effectiveness,right_pedal_smoothness,right_torque_effectiveness,left_pco,left_power_phase,left_power_phase_peak,right_pco,right_power_phase,right_power_phase_peak,speed_kph,latitude_deg,longitude_deg,timestamp_unix,timestamp_fit,gear_raw,gear_label,front_gear_index,rear_gear_index,grade_percent
20260513_22862540318,410,82,1180.06,120.39999999999998,3.835,0.0,,499811586,1678647954,253,28,2026-05-13 03:43:28,1,69672.0,23.0,173,81.0,19.0,76.0,16.0,"(337.5000052734376, 184.218752878418)","(56.25000087890626, 115.31250180175785)",9.0,"(343.1250053613282, 168.7500026367188)","(46.40625072509767, 101.25000158203127)",13.806,41.89372317865491,140.70264609530568,1778643,,,,,,
20260513_22862540318,411,84,1183.99,120.79999999999995,3.844,0.0,,499811738,1678648485,249,28,2026-05-13 03:43:29,1,69921.0,24.0,173,82.0,19.0,77.0,16.0,"(334.6875052294923, 187.03125292236334)","(64.68750101074221, 125.15625195556643)",7.0,"(348.75000544921886, 175.78125274658208)","(53.43750083496095, 108.28125169189455)",13.8384,41.89373591914773,140.70269060321152,1778643,,,,,,
20260513_22862540318,405,82,1160.23,119.60000000000002,4.46,0.0,,499810942,1678645252,149,28,2026-05-13 03:43:23,1,68595.0,21.0,174,72.0,15.0,65.0,21.0,"(0.0, 187.03125292236334)","(70.31250109863284, 127.96875199951175)",7.0,"(1.4062500219726566, 181.4062528344727)","(60.46875094482424, 115.31250180175785)",16.056,41.89366919919848,140.702419616282,1778643,,,,,,
20260513_22862540318,396,80,1120.55,117.79999999999995,3.872,0.0,,499809561,1678639886,257,28,2026-05-13 03:43:14,1,66972.0,24.0,174,81.0,21.0,79.0,16.0,"(333.2812552075196, 192.65625301025395)","(60.46875094482424, 120.93750188964847)",10.0,"(341.71875533935554, 178.5937527905274)","(49.218750769042984, 106.8750016699219)",13.9392,41.893553445115685,140.7019698433578,1778643,,,,,,
20260513_22862540318,395,80,1116.88,117.60000000000002,3.583,0.0,,499809348,1678639426,260,28,2026-05-13 03:43:13,1,66715.0,22.0,174,78.0,22.0,85.0,16.0,"(330.4687551635743, 195.46875305419925)","(63.28125098876955, 122.34375191162113)",10.0,"(340.3125053173829, 180.00000281250004)","(49.218750769042984, 108.28125169189455)",12.8988,41.89353559166193,140.7019312866032,1778643,,,,,,
20260513_22862540318,394,87,1113.04,117.20000000000005,3.48,0.0,,499809151,1678638956,265,28,2026-05-13 03:43:12,1,66455.0,24.0,174,83.0,21.0,69.0,16.0,"(327.656255119629, 194.0625030322266)","(64.68750101074221, 123.75000193359378)",10.0,"(347.3437554272462, 184.218752878418)","(56.25000087890626, 113.90625177978518)",12.528,41.89351907931268,140.7018918916583,1778643,,,,,,
20260513_22862540318,379,83,1063.39,113.39999999999998,3.34,0.0,,499806979,1678632476,246,28,2026-05-13 03:42:57,1,62475.0,21.0,176,76.0,21.0,76.0,17.0,"(334.6875052294923, 187.03125292236334)","(63.28125098876955, 122.34375191162113)",9.0,"(351.56250549316417, 184.218752878418)","(60.46875094482424, 116.7187518237305)",12.024,41.89333702437579,140.7013487443328,1778643,,,,,,
20260513_22862540318,380,84,1067.0,113.60000000000002,3.34,0.0,,499807181,1678632908,255,28,2026-05-13 03:42:58,1,62730.0,24.0,176,82.0,21.0,81.0,16.0,"(327.656255119629, 189.84375296630864)","(64.68750101074221, 125.15625195556643)",8.0,"(352.9687555151368, 187.03125292236334)","(63.28125098876955, 119.5312518676758)",12.024,41.8933539558202,140.7013849541545,1778643,,,,,,
20260513_22862540318,381,84,1070.42,113.79999999999995,3.359,0.0,,499807344,1678633342,261,28,2026-05-13 03:42:59,1,62991.0,21.0,176,77.0,21.0,79.0,16.0,"(324.8437550756837, 189.84375296630864)","(66.09375103271486, 126.5625019775391)",9.0,"(352.9687555151368, 187.03125292236334)","(63.28125098876955, 119.5312518676758)",12.0924,41.89336761832237,140.70142133161426,1778643,,,,,,
20260513_22862540318,382,85,1073.76,114.0,3.396,0.0,,499807520,1678633758,265,28,2026-05-13 03:43:00,1,63256.0,21.0,175,77.0,21.0,79.0,17.0,"(324.8437550756837, 189.84375296630864)","(66.09375103271486, 126.5625019775391)",11.0,"(352.9687555151368, 189.84375296630864)","(64.68750101074221, 120.93750188964847)",12.2256,41.893382370471954,140.70145620033145,1778643,,,,,,
20260513_22862540318,383,85,1077.13,114.20000000000005,3.415,0.0,,499807655,1678634202,272,28,2026-05-13 03:43:01,1,63528.0,22.0,175,81.0,22.0,81.0,17.0,"(322.03125503173834, 192.65625301025395)","(67.50000105468752, 129.37500202148442)",11.0,"(348.75000544921886, 188.437502944336)","(61.87500096679689, 119.5312518676758)",12.294,41.89339368604123,140.70149341598153,1778643,,,,,,
20260513_22862540318,384,85,1080.45,114.60000000000002,3.368,0.0,,499807772,1678634644,269,28,2026-05-13 03:43:02,1,63797.0,23.0,175,80.0,21.0,79.0,17.0,"(324.8437550756837, 192.65625301025395)","(67.50000105468752, 129.37500202148442)",8.0,"(345.9375054052735, 187.03125292236334)","(59.06250092285158, 116.7187518237305)",12.1248,41.89340349286795,140.70153046399355,1778643,,,,,,
20260513_22862540318,385,83,1083.39,114.79999999999995,3.359,0.0,,499807915,1678635042,261,28,2026-05-13 03:43:03,1,64058.0,22.0,175,78.0,19.0,75.0,16.0,"(323.437505053711, 188.437502944336)","(66.09375103271486, 127.96875199951175)",8.0,"(345.9375054052735, 185.62500290039068)","(60.46875094482424, 118.12500184570315)",12.0924,41.89341547898948,140.70156382396817,1778643,,,,,,
20260513_22862540318,386,83,1086.69,115.0,3.2,0.0,,499808030,1678635474,255,28,2026-05-13 03:43:04,1,64313.0,22.0,175,78.0,22.0,80.0,16.0,"(327.656255119629, 188.437502944336)","(67.50000105468752, 129.37500202148442)",8.0,"(345.9375054052735, 185.62500290039068)","(60.46875094482424, 118.12500184570315)",11.52,41.89342511817813,140.70160003378987,1778643,,,,,,
20260513_22862540318,387,80,1089.53,115.39999999999998,3.126,0.0,,499808179,1678635840,256,28,2026-05-13 03:43:05,1,64569.0,23.0,175,81.0,22.0,84.0,16.0,"(331.87500518554697, 189.84375296630864)","(68.90625107666017, 129.37500202148442)",8.0,"(350.1562554711915, 188.437502944336)","(61.87500096679689, 119.5312518676758)",11.2536,41.893437607213855,140.70163071155548,1778643,,,,,,
20260513_22862540318,388,82,1092.59,115.60000000000002,3.275,0.0,,499808345,1678636241,264,28,2026-05-13 03:43:06,1,64833.0,23.0,175,81.0,22.0,84.0,16.0,"(331.87500518554697, 189.84375296630864)","(63.28125098876955, 125.15625195556643)",10.0,"(351.56250549316417, 188.437502944336)","(61.87500096679689, 118.12500184570315)",11.79,41.89345152117312,140.7016643229872,1778643,,,,,,
20260513_22862540318,389,82,1096.06,115.79999999999995,3.172,0.0,,499808484,1678636683,263,28,2026-05-13 03:43:07,1,65096.0,24.0,175,79.0,21.0,81.0,16.0,"(331.87500518554697, 191.2500029882813)","(63.28125098876955, 126.5625019775391)",10.0,"(355.7812555590821, 187.03125292236334)","(61.87500096679689, 118.12500184570315)",11.4192,41.89346317201853,140.70170137099922,1778643,,,,,,
20260513_22862540318,390,82,1099.21,116.20000000000005,3.247,0.0,,499808667,1678637068,272,28,2026-05-13 03:43:08,1,65368.0,24.0,175,83.0,21.0,80.0,16.0,"(327.656255119629, 191.2500029882813)","(67.50000105468752, 129.37500202148442)",11.0,"(355.7812555590821, 187.03125292236334)","(61.87500096679689, 118.12500184570315)",11.6892,41.89347851090133,140.70173364132643,1778643,,,,,,
20260513_22862540318,391,83,1102.27,116.39999999999998,3.266,0.0,,499808794,1678637495,278,28,2026-05-13 03:43:09,1,65646.0,25.0,175,83.0,22.0,86.0,15.0,"(327.656255119629, 191.2500029882813)","(67.50000105468752, 129.37500202148442)",11.0,"(354.3750055371095, 187.03125292236334)","(61.87500096679689, 116.7187518237305)",11.7576,41.89348915591836,140.70176943205297,1778643,,,,,,
20260513_22862540318,392,85,1106.07,116.79999999999995,3.312,0.0,,499808894,1678638008,270,28,2026-05-13 03:43:10,1,65916.0,24.0,175,83.0,21.0,80.0,15.0,"(326.25000509765636, 191.2500029882813)","(68.90625107666017, 129.37500202148442)",10.0,"(350.1562554711915, 188.437502944336)","(60.46875094482424, 116.7187518237305)",11.9232,41.89349753782153,140.70181243121624,1778643,,,,,,
20260513_22862540318,393,87,1109.51,117.0,3.49,0.0,,499809006,1678638486,274,28,2026-05-13 03:43:11,1,66190.0,22.0,175,79.0,21.0,77.0,17.0,"(326.25000509765636, 191.2500029882813)","(68.90625107666017, 129.37500202148442)",9.0,"(348.75000544921886, 185.62500290039068)","(59.06250092285158, 115.31250180175785)",12.564000000000002,41.89350692555308,140.7018524967134,1778643,,,,,,
20260513_22862540318,412,84,1188.08,121.0,3.938,0.0,,499811908,1678649028,248,28,2026-05-13 03:43:30,1,70169.0,22.0,173,76.0,19.0,73.0,16.0,"(334.6875052294923, 188.437502944336)","(67.50000105468752, 127.96875199951175)",7.0,"(355.7812555590821, 182.81250285644535)","(60.46875094482424, 116.7187518237305)",14.1768,41.89375016838312,140.70273611694574,1778643,,,,,,
20260513_22862540318,413,84,1192.14,121.20000000000005,3.938,0.0,,499812046,1678649594,241,28,2026-05-13 03:43:31,1,70410.0,22.0,174,77.0,17.0,69.0,16.0,"(334.6875052294923, 188.437502944336)","(67.50000105468752, 127.96875199951175)",7.0,"(357.1875055810548, 185.62500290039068)","(63.28125098876955, 119.5312518676758)",14.1768,41.8937617354095,140.7027835585177,1778643,,,,,,
20260513_22862540318,414,78,1196.18,121.39999999999998,3.676,0.0,,499812187,1678650135,188,28,2026-05-13 03:43:32,1,70598.0,22.0,172,77.0,17.0,69.0,16.0,"(334.6875052294923, 188.437502944336)","(67.50000105468752, 127.96875199951175)",7.0,"(0.0, 185.62500290039068)","(63.28125098876955, 120.93750188964847)",13.2336,41.89377355389297,140.70282890461385,1778643,,,,,,
20260513_22862540318,415,66,1199.99,121.79999999999995,3.406,0.0,,499812346,1678650621,206,28,2026-05-13 03:43:33,1,70804.0,22.0,172,77.0,17.0,69.0,14.0,"(345.9375054052735, 189.84375296630864)","(67.50000105468752, 123.75000193359378)",6.0,"(1.4062500219726566, 185.62500290039068)","(63.28125098876955, 119.5312518676758)",12.2616,41.89378688111901,140.70286964066327,1778643,,,,,,
